Continent,Unnamed: 0,Year,"Contraceptive prevalence, any method (% of married women ages 15-49)",Fertility rate,Total years of schooling (Lee-Lee (2016)),Population (historical estimates)
Africa,712.7857142857143,2015.0,31.864285605294363,5.022142857142858,,25912785.214285713
Asia,717.5,2015.0,55.54999923706055,2.4216666666666664,,96853018.0
Europe,218.0,2015.0,78.25,1.645,,7060939.5
North America,605.25,2015.0,64.02500057220459,2.3975,,36250836.0
Oceania,1102.0,2015.0,29.299999237060547,3.91,,612670.0
South America,601.5,2015.0,77.79999923706055,2.1500000000000004,,38915796.0
